Rank,Seq Codes,Divisor,Bypass,c>7,A1 Wait,Always Bet,Div<1,Max Cap,Files,Success Rate,Turnover,Balance,Profit/Loss
249,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Dis,20,169,75.7%,79012,3812,896
250,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Ena,20,169,75.7%,79500,3812,896
251,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Ena,20,169,75.7%,79500,3812,896
252,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Dis,20,169,75.7%,79012,3812,896
253,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Ena,15,169,76.3%,82205,3834,895
254,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Dis,20,169,76.3%,83985,3836,895
255,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Dis,15,169,76.3%,81757,3834,895
256,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Ena,20,169,76.3%,84969,3836,895
257,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Dis,10,169,76.3%,77520,3825,894
258,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Dis,10,169,76.3%,77520,3825,894
259,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Ena,10,169,76.3%,77560,3825,894
260,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Ena,10,169,76.3%,77560,3825,894
261,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Ena,15,169,76.3%,82748,3817,892
262,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Ena,15,169,76.3%,82748,3817,892
263,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Dis,15,169,76.3%,82300,3817,892
264,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Dis,15,169,76.3%,82300,3817,892
265,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Ena,25,169,75.7%,76680,3820,891
266,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Dis,25,169,75.7%,76432,3820,891
267,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Ena,25,169,75.7%,81076,3803,890
268,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Dis,25,169,75.7%,80200,3803,890
269,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Ena,30,169,75.7%,82312,3799,889
270,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Ena,25,169,75.7%,77316,3790,889
271,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Dis,25,169,75.7%,77068,3790,889
272,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Ena,25,169,75.7%,77316,3790,889
273,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Dis,25,169,76.3%,85857,3812,889
274,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Dis,25,169,75.7%,77068,3790,889
275,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Ena,25,169,75.7%,76852,3805,888
276,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Dis,25,169,75.7%,76604,3805,888
277,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Dis,30,169,75.7%,77696,3802,887
278,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Dis,Ena,30,169,75.7%,78016,3802,887
279,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Dis,25,169,75.7%,80672,3782,886
280,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Ena,25,169,75.7%,81548,3782,886
281,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Ena,20,169,76.3%,85825,3798,886
282,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Dis,25,169,75.7%,80672,3782,886
283,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Ena,25,169,75.7%,81548,3782,886
284,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Dis,20,169,76.3%,84625,3798,886
285,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Ena,30,169,75.7%,78176,3787,884
286,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Dis,Dis,30,169,75.7%,77856,3787,884
287,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Ena,30,169,75.7%,82704,3771,883
288,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Ena,30,169,75.7%,78620,3763,883
289,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Ena,30,169,75.7%,78620,3763,883
290,"Standard (3, 4, 2)",32,Dis,Dis,Ena,Ena,Dis,30,169,75.7%,78300,3763,883
291,"Standard (3, 4, 2)",32,Ena,Dis,Ena,Ena,Dis,30,169,75.7%,78300,3763,883
292,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Ena,20,169,76.3%,86352,3781,882
293,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Dis,20,169,76.3%,85152,3781,882
294,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Dis,20,169,76.3%,85152,3781,882
295,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Ena,20,169,76.3%,86352,3781,882
296,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Ena,30,169,75.7%,83148,3756,880
297,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Ena,30,169,75.7%,83148,3756,880
298,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Dis,25,169,76.3%,86457,3770,879
299,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Dis,Ena,15,169,59.8%,160186,3759,876
300,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Dis,25,169,76.3%,86952,3750,874
301,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Dis,25,169,76.3%,86952,3750,874
302,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Dis,Dis,20,169,59.8%,165163,3727,869
303,"Alternative (8, 44, 10)",16,Dis,Ena,Dis,Dis,Ena,15,169,60.4%,159318,3732,865
304,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Ena,Dis,15,169,58.6%,165605,3608,838
305,"Alternative (8, 44, 10)",16,Dis,Dis,Dis,Ena,Dis,15,169,58.6%,165605,3608,838
306,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Ena,Ena,15,169,66.9%,189409,3523,823
307,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Ena,15,169,66.9%,189409,3523,823
308,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Dis,25,169,80.5%,84655,3431,797
309,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Dis,25,169,80.5%,84655,3431,797
310,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Dis,15,169,80.5%,80493,3385,785
311,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Dis,15,169,80.5%,80493,3385,785
312,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Dis,20,169,80.5%,83396,3377,783
313,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Dis,20,169,80.5%,83396,3377,783
314,"Alternative (8, 44, 10)",8,Dis,Dis,Ena,Ena,Dis,10,169,80.5%,75961,3353,774
315,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Ena,Dis,10,169,80.5%,75961,3353,774
316,"Alternative (8, 44, 10)",8,Dis,Dis,Ena,Ena,Ena,10,169,80.5%,76137,3353,774
317,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Ena,Ena,10,169,80.5%,76137,3353,774
318,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Dis,10,169,80.5%,74986,3318,767
319,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Ena,10,169,80.5%,75114,3318,767
320,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Dis,10,169,80.5%,74986,3318,767
321,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Ena,10,169,80.5%,75114,3318,767
322,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Dis,Ena,15,169,66.9%,183697,3248,756
323,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Dis,Ena,15,169,66.3%,184924,3237,749
324,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Dis,Dis,20,169,66.9%,185297,3198,743
325,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Dis,Dis,10,169,81.7%,71375,3151,727
326,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Dis,Ena,10,169,81.7%,71527,3151,727
327,"Alternative (8, 44, 10)",8,Dis,Dis,Ena,Dis,Ena,10,169,81.7%,69238,3154,726
328,"Alternative (8, 44, 10)",8,Dis,Dis,Ena,Dis,Dis,10,169,81.7%,69214,3154,726
329,"Alternative (8, 44, 10)",32,Ena,Ena,Dis,Dis,Dis,20,169,56.8%,147337,3146,724
330,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Ena,Dis,20,169,65.7%,192442,3105,715
331,"Alternative (8, 44, 10)",8,Ena,Dis,Dis,Ena,Dis,20,169,65.7%,192442,3105,715
332,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Ena,15,169,82.2%,75956,3106,713
333,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Ena,15,169,82.2%,78709,3093,710
334,"Alternative (8, 44, 10)",32,Ena,Dis,Dis,Dis,Dis,20,169,56.2%,148399,3096,710
335,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Dis,15,169,82.2%,75036,3080,706
336,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Dis,Dis,20,169,66.3%,180582,3036,704
337,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Dis,15,169,82.2%,77317,3067,703
338,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Dis,20,169,82.2%,78278,3069,703
339,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Ena,10,169,81.7%,69865,3042,696
340,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Dis,10,169,81.7%,69833,3042,696
341,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Dis,10,169,82.2%,71760,3032,694
342,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Ena,10,169,82.2%,71880,3032,694
343,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Dis,20,169,82.2%,80499,3030,693
344,"Alternative (8, 44, 10)",8,Dis,Dis,Dis,Dis,Dis,20,169,65.7%,181249,2991,692
345,"Alternative (8, 44, 10)",32,Dis,Dis,Dis,Dis,Dis,20,169,56.2%,145847,3013,689
346,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Ena,30,169,70.4%,120276,3015,687
347,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Ena,30,169,70.4%,120276,3015,687
348,"Alternative (8, 44, 10)",32,Dis,Ena,Dis,Dis,Dis,20,169,56.8%,145021,2991,686
349,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Dis,Dis,30,169,69.2%,106394,3007,683
350,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Ena,30,169,70.4%,118003,2988,680
351,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Dis,Dis,30,169,69.2%,106834,2997,680
352,"Standard (3, 4, 2)",16,Dis,Dis,Dis,Ena,Dis,30,169,69.2%,107682,2996,680
353,"Standard (3, 4, 2)",16,Ena,Dis,Dis,Ena,Dis,30,169,69.2%,107682,2996,680
354,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Ena,Dis,30,169,70.4%,117404,2980,679
355,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Ena,Dis,30,169,70.4%,117404,2980,679
356,"Standard (3, 4, 2)",8,Dis,Dis,Dis,Dis,Dis,30,169,70.4%,114767,2974,676
357,"Standard (3, 4, 2)",8,Ena,Dis,Dis,Dis,Dis,30,169,70.4%,115603,2951,671
358,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Ena,25,169,75.7%,87974,2870,654
359,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Ena,25,169,75.7%,87234,2851,649
360,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Ena,25,169,75.7%,88469,2850,649
361,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Ena,25,169,75.7%,88469,2850,649
362,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Dis,Dis,30,169,75.1%,80821,2835,648
363,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Dis,Dis,30,169,75.1%,81213,2806,641
364,"Standard (3, 4, 2)",16,Ena,Dis,Ena,Ena,Dis,30,169,75.1%,81669,2789,638
365,"Standard (3, 4, 2)",16,Dis,Dis,Ena,Ena,Dis,30,169,75.1%,81669,2789,638
366,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Dis,Dis,30,169,75.7%,86986,2796,633
367,"Alternative (8, 44, 10)",8,Dis,Ena,Dis,Ena,Dis,20,169,66.3%,191835,2738,623
368,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Dis,Dis,30,169,75.7%,87574,2753,623
369,"Alternative (8, 44, 10)",8,Ena,Ena,Dis,Ena,Dis,20,169,66.3%,191835,2738,623
370,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Dis,10,169,80.5%,63209,2738,622
371,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Ena,10,169,80.5%,63225,2738,622
372,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Dis,10,169,80.5%,64368,2731,619
373,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Ena,10,169,80.5%,64424,2731,619
374,"Standard (3, 4, 2)",8,Ena,Dis,Ena,Ena,Dis,30,169,75.7%,88077,2733,618
375,"Standard (3, 4, 2)",8,Dis,Dis,Ena,Ena,Dis,30,169,75.7%,88077,2733,618
376,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Dis,Ena,10,169,79.3%,64130,2707,613
377,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Dis,Dis,10,169,79.3%,64114,2707,613
378,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Dis,Ena,10,169,79.3%,65556,2699,611
379,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Dis,Dis,10,169,79.3%,65460,2699,611
380,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Dis,15,169,80.5%,67833,2701,609
381,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Ena,15,169,80.5%,68261,2692,607
382,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Dis,15,169,80.5%,69024,2694,606
383,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Ena,15,169,80.5%,69684,2685,604
384,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Dis,Dis,15,169,79.3%,69078,2673,602
385,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Dis,Ena,15,169,79.3%,69558,2664,600
386,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Dis,Dis,15,169,79.3%,70480,2665,600
387,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Dis,20,169,80.5%,70189,2659,598
388,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Dis,20,169,80.5%,71363,2660,598
389,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Dis,Ena,15,169,79.3%,71260,2656,598
390,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Ena,20,169,80.5%,73235,2650,596
391,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Ena,20,169,80.5%,71709,2649,596
392,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Ena,25,169,80.5%,74317,2644,596
393,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Dis,10,169,78.1%,56317,2644,595
394,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Ena,10,169,78.1%,56325,2644,595
395,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Dis,30,169,79.9%,85172,2606,591
396,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Dis,10,169,78.1%,55809,2629,591
397,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,10,169,78.1%,55817,2629,591
398,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Dis,30,169,79.9%,85172,2606,591
399,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Dis,25,169,80.5%,71397,2619,590
400,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Dis,25,169,80.5%,72559,2620,590
401,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Ena,10,169,76.9%,57405,2614,589
402,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,15,169,78.7%,69771,2618,589
403,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Dis,15,169,78.7%,69771,2618,589
404,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Dis,10,169,76.9%,57381,2614,589
405,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Ena,15,169,78.7%,70327,2611,588
406,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Ena,15,169,78.7%,70327,2611,588
407,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Dis,15,169,78.1%,59573,2626,588
408,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Ena,15,169,78.1%,59753,2626,588
409,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Ena,20,169,78.1%,62005,2622,587
410,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Dis,20,169,78.1%,61405,2622,587
411,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Ena,10,169,78.7%,65513,2609,586
412,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Ena,10,169,77.5%,58331,2584,586
413,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Dis,10,169,77.5%,58323,2584,586
414,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Ena,10,169,78.7%,65513,2609,586
415,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,20,169,78.7%,72059,2607,586
416,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Ena,10,169,77.5%,58331,2584,586
417,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Ena,10,169,76.9%,56713,2599,586
418,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,10,169,78.7%,65465,2609,586
419,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Dis,10,169,78.7%,65465,2609,586
420,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Dis,10,169,76.9%,56705,2599,586
421,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Dis,10,169,77.5%,58323,2584,586
422,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Dis,20,169,78.7%,72059,2607,586
423,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,20,169,78.1%,60772,2617,585
424,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,15,169,78.1%,59245,2615,585
425,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Dis,15,169,78.1%,59077,2615,585
426,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Dis,25,169,78.1%,62449,2602,584
427,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Dis,20,169,77.5%,63259,2580,584
428,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Ena,25,169,78.1%,63593,2602,584
429,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Ena,20,169,77.5%,63859,2580,584
430,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Dis,20,169,77.5%,63259,2580,584
431,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Dis,20,169,78.1%,60909,2611,584
432,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Ena,20,169,77.5%,63859,2580,584
433,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Dis,20,169,76.9%,63057,2592,583
434,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Ena,20,169,76.9%,63857,2592,583
435,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Ena,Dis,10,169,77.5%,67545,2579,582
436,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Ena,Dis,10,169,77.5%,67545,2579,582
437,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Ena,15,169,77.5%,61639,2570,582
438,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Ena,Ena,10,169,77.5%,67633,2579,582
439,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Ena,20,169,76.9%,62488,2587,582
440,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Dis,15,169,77.5%,61459,2570,582
441,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Dis,15,169,77.5%,61459,2570,582
442,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Ena,15,169,76.9%,61237,2596,582
443,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Ena,15,169,77.5%,61639,2570,582
444,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Ena,Ena,10,169,77.5%,67633,2579,582
445,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Dis,Dis,15,169,76.9%,61009,2596,582
446,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,25,169,78.1%,62160,2597,582
447,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Dis,25,169,78.1%,61953,2591,581
448,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,25,169,78.7%,73231,2586,581
449,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Dis,20,169,76.9%,62441,2581,581
450,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Dis,25,169,78.7%,73231,2586,581
451,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Ena,15,169,76.9%,60565,2585,580
452,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Dis,Dis,15,169,76.9%,60365,2585,580
453,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Dis,Dis,30,169,80.5%,72217,2566,577
454,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Dis,25,169,77.5%,64307,2559,577
455,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Ena,25,169,77.5%,65451,2559,577
456,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Ena,Dis,15,169,77.5%,72216,2558,577
457,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Dis,25,169,77.5%,64307,2559,577
458,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Ena,25,169,77.5%,65451,2559,577
459,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Ena,Dis,15,169,77.5%,72216,2558,577
460,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Dis,Dis,30,169,80.5%,73355,2567,577
461,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Ena,Dis,30,169,77.5%,64983,2550,576
462,"Alternative (8, 44, 10)",16,Ena,Dis,Ena,Ena,Ena,15,169,77.5%,72892,2551,576
463,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Ena,Dis,30,169,77.5%,64983,2550,576
464,"Alternative (8, 44, 10)",16,Dis,Dis,Ena,Ena,Ena,15,169,77.5%,72892,2551,576
465,"Alternative (8, 44, 10)",16,Ena,Ena,Dis,Dis,Ena,15,169,59.8%,163523,2569,575
466,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Ena,30,169,78.1%,64789,2561,574
467,"Alternative (8, 44, 10)",32,Ena,Ena,Ena,Dis,Dis,30,169,78.1%,63101,2561,574
468,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Ena,20,169,80.5%,85274,2541,573
469,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Ena,20,169,80.5%,85274,2541,573
470,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Ena,30,169,78.1%,63180,2556,572
471,"Alternative (8, 44, 10)",16,Ena,Ena,Ena,Ena,Dis,30,169,78.7%,73871,2547,571
472,"Alternative (8, 44, 10)",32,Dis,Ena,Ena,Dis,Dis,30,169,78.1%,62621,2550,571
473,"Alternative (8, 44, 10)",16,Dis,Ena,Ena,Ena,Dis,30,169,78.7%,73871,2547,571
474,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Ena,Ena,15,169,80.5%,80491,2521,568
475,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Ena,Ena,15,169,80.5%,80491,2521,568
476,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Ena,10,169,76.3%,60374,2515,564
477,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Dis,25,169,76.3%,67058,2515,564
478,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Dis,20,169,76.3%,65906,2521,564
479,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Dis,10,169,76.3%,60350,2515,564
480,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Ena,20,169,76.3%,66706,2521,564
481,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Dis,20,169,76.3%,65906,2521,564
482,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Ena,20,169,76.3%,66706,2521,564
483,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Dis,10,169,76.3%,60350,2515,564
484,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Dis,25,169,76.3%,67058,2515,564
485,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Ena,10,169,76.3%,60374,2515,564
486,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Ena,15,169,76.3%,64126,2507,559
487,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Dis,15,169,76.3%,63898,2507,559
488,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Ena,15,169,76.3%,64126,2507,559
489,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Dis,15,169,76.3%,63898,2507,559
490,"Alternative (8, 44, 10)",32,Ena,Dis,Ena,Ena,Dis,30,169,76.3%,67834,2478,555
491,"Alternative (8, 44, 10)",32,Dis,Dis,Ena,Ena,Dis,30,169,76.3%,67834,2478,555
492,"Alternative (8, 44, 10)",16,Ena,Dis,Dis,Dis,Ena,15,169,59.2%,165131,2410,539
493,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Dis,25,169,81.7%,79315,2310,513
494,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Dis,Ena,15,169,81.1%,78883,2282,511
495,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Dis,25,169,81.7%,81476,2292,509
496,"Alternative (8, 44, 10)",8,Ena,Dis,Ena,Dis,Dis,15,169,81.1%,77327,2275,508
497,"Alternative (8, 44, 10)",8,Dis,Ena,Ena,Dis,Dis,30,169,81.7%,79971,2248,497
498,"Alternative (8, 44, 10)",8,Ena,Ena,Ena,Dis,Dis,30,169,81.7%,82148,2230,493
